Philippines,PHL,1999,12620.45662,3292.517024,76325927,
Philippines,PHL,2000,10409.27411,3439.538765,77991757,
Philippines,PHL,2001,10777.2296,3545.734142,79672869,
Philippines,PHL,2002,9889.552239,3657.970357,81365260,
Philippines,PHL,1990,,2665.119919,61895169,
Philippines,PHL,1991,,2671.985322,63454785,
Philippines,PHL,1992,,2676.088414,65020124,
Philippines,PHL,1993,,2731.357367,66593903,
Philippines,PHL,1994,,2844.302807,68180846,
Philippines,PHL,1995,,2969.972078,69784087,
Philippines,PHL,1996,,3128.628701,71401743,
Philippines,PHL,1997,,3272.929996,73030879,
Philippines,PHL,1998,25000,3218.35741,74672009,
Philippines,PHL,2003,25000,3835.916752,83051970,
Philippines,PHL,2004,25000,4115.768814,84710544,
Philippines,PHL,2005,25000,4370.373887,86326251,
Philippines,PHL,2006,25000,4657.708791,87888675,
Philippines,PHL,2007,25000,5008.201409,89405482,
Philippines,PHL,2008,25000,5239.726938,90901967,
Philippines,PHL,2009,25000,5268.494984,92414161,
Philippines,PHL,2010,30000,5626.281161,93966784,
Philippines,PHL,2011,30000,5865.343551,95570049,
Philippines,PHL,2012,30000,6296.827614,97212639,
Philippines,PHL,2013,30000,6614.683524,98871558,
Philippines,PHL,2014,30000,6960.900716,100513137,
Philippines,PHL,2015,,7186.76928,102113206,Asia
Philippines,PHL,2016,,7703.762275,103663812,
Philippines,PHL,2017,,8120.868793,105172921,
Philippines,PHL,2018,,8720.607379,106651394,
Philippines,PHL,2019,,9291.726915,108116622,
Philippines,PHL,2020,,8390.353144,109581085,
Philippines,PHL,2021,,,111046910,
